,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Gourmet Seafood Main Dishes,Macadamia-Crusted Sea Bass with Mango Cream Sauce,https://www.allrecipes.com/recipe/39583/macadamia-crusted-sea-bass-with-mango-cream-sauce/,20 m,20 m,40 m,Original recipe yields 4 servings,423  cals,31.1 ,13.6,24.2 ,87 ,222 ,"1/2 mango - peeled, seeded and diced;1/2 cup heavy cream;1 teaspoon lemon juice;1/2 cup chopped macadamia nuts;1/4 cup seasoned bread crumbs;1 teaspoon olive oil;1/2 teaspoon black pepper;1 pinch red pepper flakes;1 pound fresh sea bass;salt and ground black pepper to taste;2 cloves minced garlic;1 tablespoon extra virgin olive oil",4
1,Gourmet Seafood Main Dishes,Pan Seared Salmon I,https://www.allrecipes.com/recipe/21736/pan-seared-salmon-i/,10 m,10 m,20 m,Original recipe yields 4 servings,371  cals,25.1 ,1.7,33.7 ,99 ,300 ,4 (6 ounce) fillets salmon;2 tablespoons olive oil;2 tablespoons capers;1/8 teaspoon salt;1/8 teaspoon ground black pepper;4 slices lemon,3
2,Gourmet Seafood Main Dishes,Seared Scallops with Jalapeno Vinaigrette,https://www.allrecipes.com/recipe/222400/seared-scallops-with-jalapeno-vinaigrette/,5 m,10 m,15 m,Original recipe yields 4 servings,307  cals,18 ,5.9,30.1 ,72 ,472 ,"1 large jalapeno pepper, seeded and membranes removed;1/4 cup rice vinegar;1/4 cup olive oil;1/4 teaspoon Dijon mustard;salt and freshly ground black pepper to taste;1 tablespoon vegetable oil;12 large fresh sea scallops;1 pinch sea salt;1 pinch cayenne pepper;2 oranges, peeled and cut in between sections as segments",2
3,Gourmet Seafood Main Dishes,Red Snapper Livornese,https://www.allrecipes.com/recipe/21499/red-snapper-livornese/,20 m,25 m,45 m,Original recipe yields 4 servings,226  cals,10.4 ,8.6,24.9 ,42 ,555 ,"2 tablespoons olive oil;1/2 small onion, diced;2 cloves garlic, minced;5 whole canned tomatoes, drained and chopped;2 tablespoons capers, chopped;1/2 cup sliced black olives, drained;1/4 teaspoon crushed red pepper flakes;1/2 tablespoon chopped fresh parsley;1 pound red snapper fillets;1 tablespoon fresh lemon juice",4
4,Gourmet Seafood Main Dishes,Phyllo-Wrapped Halibut Fillets with Lemon Scallion Sauce,https://www.allrecipes.com/recipe/86813/phyllo-wrapped-halibut-fillets-with-lemon-scallion-sauce/,,,,,,,,,,,,0
5,Gourmet Seafood Main Dishes,Shrimp Verde,https://www.allrecipes.com/recipe/25867/shrimp-verde/,10 m,10 m,20 m,Original recipe yields 4 servings (4 servings as a main dish),215  cals,11.3 ,1.9,26.4 ,188 ,412 ,"2 tablespoons olive oil;2 cloves garlic, chopped;1/4 cup chopped green onion;1 pound fresh shrimp, peeled and deveined;1/2 cup Italian flat leaf parsley, chopped;1/2 cup freshly grated Parmesan cheese",3
6,Gourmet Seafood Main Dishes,Steamed Clams in Butter and Sake,https://www.allrecipes.com/recipe/157438/steamed-clams-in-butter-and-sake/,10 m,10 m,25 m,Original recipe yields 4 servings,121  cals,9 ,3,4.5 ,34 ,155 ,"4 teaspoons sake;4 teaspoons mirin (Japanese sweet wine);2 teaspoons rice vinegar;1 1/4 pounds clams in shell, scrubbed;3 tablespoons butter;1 teaspoon soy sauce;1 green onion, chopped",3
7,Gourmet Seafood Main Dishes,Sea Bass Cuban Style,https://www.allrecipes.com/recipe/21579/sea-bass-cuban-style/,20 m,25 m,45 m,Original recipe yields 4 servings,444  cals,19.4 ,17.4,34.2 ,84 ,988 ,"2 tablespoons extra virgin olive oil;1 1/2 cups thinly sliced white onions;2 tablespoons minced garlic;4 cups seeded, chopped plum tomatoes;1 1/2 cups dry white wine;2/3 cup sliced stuffed green olives;1/4 cup drained capers;1/8 teaspoon red pepper flakes;4 (6 ounce) fillets sea bass;2 tablespoons butter;1/4 cup chopped fresh cilantro",3
8,Gourmet Seafood Main Dishes,"Steamed Mussels with Fennel, Tomatoes, Ouzo, and Cream",https://www.allrecipes.com/recipe/29555/steamed-mussels-with-fennel-tomatoes-ouzo-and-cream/,15 m,5 m,30 m,Original recipe yields 4 servings,286  cals,15.7 ,15.7,16.3 ,76 ,245 ,"1 tablespoon olive oil;2 shallots, finely chopped;4 cloves garlic, finely chopped;1 bulb fennel - trimmed, cored and thinly sliced;1 large tomato, cubed;1/2 cup white wine;1/4 cup ouzo;1/2 cup heavy cream;4 pounds mussels, cleaned and debearded;1/3 cup fresh basil leaves, torn;salt to taste",3
9,Gourmet Seafood Main Dishes,Baked Dijon Salmon,https://www.allrecipes.com/recipe/21176/baked-dijon-salmon/,20 m,15 m,35 m,Original recipe yields 4 servings,422  cals,29 ,17.6,24.3 ,97 ,480 ,"1/4 cup butter, melted;3 tablespoons Dijon mustard;1 1/2 tablespoons honey;1/4 cup dry bread crumbs;1/4 cup finely chopped pecans;4 teaspoons chopped fresh parsley;4 (4 ounce) fillets salmon;salt and pepper to taste;1 lemon, for garnish",4
