,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Pork Chops,Canadian Pork Loin Chops,https://www.allrecipes.com/recipe/244346/canadian-pork-loin-chops/,30 m,20 m,4 h 50 m,Original recipe yields 6 servings,344  cals,17.6 ,20.3,25.4 ,63 ,728 ,"Spice Rub:;1 1/2 tablespoons brown sugar;1 1/2 teaspoons sea salt;1/2 teaspoon garlic powder;1/2 teaspoon onion powder;1/2 teaspoon paprika;1/4 teaspoon freshly ground black pepper;1/4 teaspoon dry mustard;1/4 teaspoon crushed fennel seeds;6 boneless pork loin chops, 1/2 inch thick;Glaze:;1/4 cup pure maple syrup, preferably dark amber (Grade B);2 tablespoons spicy brown mustard;1 pinch garlic powder;1 pinch paprika;1 pinch freshly ground black pepper;1 pinch cayenne pepper (optional);1/2 cup seasoned bread crumbs;1 tablespoon olive oil;1 tablespoon canola oil;1 clove clove garlic, crushed",7
1,Pork Chops,Pork Chops Italiano,https://www.allrecipes.com/recipe/219005/pork-chops-italiano/,15 m,1 h 10 m,1 h 25 m,Original recipe yields 6 servings,290  cals,17.6 ,7.8,25.3 ,63 ,339 ,"1 teaspoon olive oil;2 cups sliced mushrooms;2 tablespoons olive oil;6 (3/4 inch thick) pork loin chops;2 cloves garlic, crushed;1 cup chopped onion;1 (14.5 ounce) can diced Italian tomatoes, undrained;1 teaspoon dried basil;1/2 teaspoon dried oregano;1/2 teaspoon salt;1/4 teaspoon ground black pepper;1/2 cup water, if necessary;1 large green bell pepper, cut in 6 pieces",3
2,Pork Chops,Mom's Best Pork Chops,https://www.allrecipes.com/recipe/77543/moms-best-pork-chops/,40 m,45 m,1 h 25 m,Original recipe yields 6 servings,521  cals,21.3 ,48.7,31.5 ,121 ,816 ,"2 eggs;1/2 teaspoon garlic powder;1/2 teaspoon onion powder;3 (4 ounce) packets saltine crackers, crushed;3 tablespoons vegetable oil;6 thin cut pork chops",3
3,Pork Chops,Creamy Herbed Pork Chops,https://www.allrecipes.com/recipe/235432/creamy-herbed-pork-chops/,10 m,25 m,35 m,Original recipe yields 4 servings,601  cals,43.6 ,10.9,40.3 ,165 ,621 ,"4 thick-cut pork chops;1 teaspoon Montreal steak seasoning, or to taste;1/2 cup butter, divided;2 1/2 tablespoons all-purpose flour, or as needed;1 tablespoon dried basil;1 teaspoon instant beef bouillon granules;1 teaspoon freshly ground black pepper;2 cups milk",3
4,Pork Chops,San Francisco Pork Chops,https://www.allrecipes.com/recipe/230995/san-francisco-pork-chops/,15 m,45 m,1 h,Original recipe yields 4 servings,379  cals,18.6 ,9.4,41.1 ,124 ,1042 ,"1 tablespoon vegetable oil;4 (3/4 inch-thick) boneless pork chops, trimmed;1 clove garlic, minced;1/4 cup beef broth;1/4 cup soy sauce;2 tablespoons brown sugar;2 teaspoons vegetable oil;1/4 teaspoon red pepper flakes;2 teaspoons cornstarch;2 tablespoons water",3
5,Pork Chops,Grilled Asian Ginger Pork Chops,https://www.allrecipes.com/recipe/53302/grilled-asian-ginger-pork-chops/,5 m,10 m,2 h 15 m,Original recipe yields 6 servings,136  cals,3.4 ,4,21.4 ,61 ,548 ,"1/2 cup orange juice;2 tablespoons soy sauce;2 tablespoons minced fresh ginger root;2 tablespoons grated orange zest;1 teaspoon minced garlic;1 teaspoon garlic chile paste;1/2 teaspoon salt;6 pork loin chops, 1/2 inch thick",3
6,Pork Chops,Apple Cider Sauce and Pork Loin Chops,https://www.allrecipes.com/recipe/88123/apple-cider-sauce-and-pork-loin-chops/,10 m,45 m,55 m,Original recipe yields 4 servings,325  cals,16.6 ,28.6,14.1 ,37 ,307 ,"3 tablespoons olive oil;4 pork loin chops;seasoning salt to taste;black pepper to taste;garlic powder to taste;1/2 teaspoon poultry seasoning;3 tablespoons Worcestershire sauce;1 (8 ounce) container frozen apple cider concentrate, undiluted;1/4 cup dry sherry",3
7,Pork Chops,Chesapeake Bay Pork Chops,https://www.allrecipes.com/recipe/203248/chesapeake-bay-pork-chops/,10 m,15 m,4 h 25 m,Original recipe yields 8 servings,384  cals,22.8 ,1,40.9 ,107 ,256 ,"1/2 cup vegetable oil;1/2 cup apple cider vinegar;1 tablespoon seafood seasoning (such as Old Bay®);2 cloves minced garlic;1 tablespoon chopped fresh basil;1 lime, juiced;cracked black pepper to taste;8 boneless pork chops, 1/2 inch thick",3
8,Pork Chops,Potato and Pork Bake,https://www.allrecipes.com/recipe/16438/potato-and-pork-bake/,20 m,40 m,1 h,Original recipe yields 8 servings,279  cals,6.4 ,40.4,15.1 ,34 ,425 ,"8 potatoes, cubed;8 thick cut pork chops;1 packet dry onion soup mix",3
9,Pork Chops,Baked Pork Chops I,https://www.allrecipes.com/recipe/16348/baked-pork-chops-i/,30 m,1 h 30 m,2 h,Original recipe yields 6 servings,457  cals,19.9 ,36,29.9 ,128 ,1142 ,"6 pork chops;1 teaspoon garlic powder;1 teaspoon seasoning salt;2 egg, beaten;1/4 cup all-purpose flour;2 cups Italian-style seasoned bread crumbs;4 tablespoons olive oil;1 (10.75 ounce) can condensed cream of mushroom soup;1/2 cup milk;1/3 cup white wine",4
10,Pork Chops,Marinated Baked Pork Chops,https://www.allrecipes.com/recipe/44742/marinated-baked-pork-chops/,15 m,1 h,1 h 15 m,Original recipe yields 6 servings,166  cals,8.8 ,6.5,14.6 ,36 ,256 ,"1 tablespoon soy sauce;2 tablespoons vegetable oil;1 tablespoon Worcestershire sauce;1 teaspoon lemon juice;2 tablespoons brown sugar;2 tablespoons ketchup;6 pork chops, trimmed",4
11,Pork Chops,Italian Breaded Pork Chops,https://www.allrecipes.com/recipe/31064/italian-breaded-pork-chops/,25 m,35 m,1 h,Original recipe yields 4 servings,440  cals,20.3 ,33.4,30 ,186 ,1026 ,"3 eggs, lightly beaten;3 tablespoons milk;1 1/2 cups Italian seasoned bread crumbs;1/2 cup grated Parmesan cheese;2 tablespoons dried parsley;2 tablespoons olive oil;4 cloves garlic, peeled and chopped;4 pork chops",5
12,Pork Chops,Caramel Apple Pork Chops,https://www.allrecipes.com/recipe/14692/caramel-apple-pork-chops/,20 m,25 m,45 m,Original recipe yields 4 servings,262  cals,16 ,17.1,13.8 ,48 ,27 ,"4 (3/4 inch) thick pork chops;1 teaspoon vegetable oil;2 tablespoons brown sugar;salt and pepper to taste;1/8 teaspoon ground cinnamon;1/8 teaspoon ground nutmeg;2 tablespoons unsalted butter;2 tart apples - peeled, cored and sliced;3 tablespoons pecans (optional)",4
13,Pork Chops,Mushroom Pork Chops,https://www.allrecipes.com/recipe/14746/mushroom-pork-chops/,10 m,30 m,40 m,Original recipe yields 4 servings,210  cals,8.5 ,9.6,23.6 ,65 ,924 ,"4 pork chops;salt and pepper to taste;1 pinch garlic salt, or to taste;1 onion, chopped;1/2 pound fresh mushrooms, sliced;1 (10.75 ounce) can condensed cream of mushroom soup",2
14,Pork Chops,Famous Pork Chops,https://www.allrecipes.com/recipe/24033/famous-pork-chops/,15 m,45 m,1 h,Original recipe yields 4 servings,444  cals,36.1 ,10.6,19.7 ,248 ,335 ,"1 cup crushed butter crackers;garlic salt to taste;ground black pepper to taste;3 eggs, beaten;4 pork chops;1/2 cup butter",3
