,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Asparagus Side Dishes,Grilled Lemon Parmesan Asparagus,https://www.allrecipes.com/recipe/220199/grilled-lemon-parmesan-asparagus/,10 m,5 m,15 m,Original recipe yields 4 servings,75  cals,4.9 ,4.9,4.4 ,4 ,118 ,"1 pound fresh asparagus, trimmed;1 tablespoon olive oil, or more if needed;1 tablespoon lemon juice, or more if needed;salt and ground black pepper to taste;1/4 cup grated Parmesan cheese, plus extra for topping",5
1,Asparagus Side Dishes,Asparagus and Cashews,https://www.allrecipes.com/recipe/99125/asparagus-and-cashews/,15 m,10 m,25 m,Original recipe yields 4 servings,243  cals,21.6 ,10.4,5.4 ,0 ,338 ,"2 tablespoons olive oil;2 tablespoons sesame oil;1 teaspoon minced fresh ginger root;1 bunch asparagus stalks, ends cut;1 tablespoon soy sauce;1/2 cup chopped cashews",1
2,Asparagus Side Dishes,Awesomely Easy Sesame Asparagus,https://www.allrecipes.com/recipe/99601/awesomely-easy-sesame-asparagus/,2 m,10 m,12 m,Original recipe yields 4 servings,78  cals,5.7 ,5.5,3.3 ,0 ,103 ,"1 bunch fresh asparagus, trimmed;1 tablespoon olive oil;2 tablespoons black sesame seeds, lightly toasted;kosher salt to taste",1
3,Asparagus Side Dishes,Roasted Asparagus and Mushrooms,https://www.allrecipes.com/recipe/104947/roasted-asparagus-and-mushrooms/,10 m,15 m,25 m,Original recipe yields 6 servings,38  cals,1.8 ,4.3,2.8 ,0 ,84 ,"1 bunch fresh asparagus, trimmed;1/2 pound fresh mushrooms, quartered;2 sprigs fresh rosemary, minced;2 teaspoons olive oil;kosher salt to taste;freshly ground black pepper to taste",2
4,Asparagus Side Dishes,Roasted Asparagus with Shallots,https://www.allrecipes.com/recipe/76291/roasted-asparagus-with-shallots/,5 m,20 m,25 m,Original recipe yields 4 servings,206  cals,13.8 ,18,6.2 ,0 ,11 ,"2 bunches fresh asparagus spears, trimmed;4 medium shallots, thinly sliced;4 tablespoons extra-virgin olive oil;3 tablespoons red wine vinegar, divided;salt and pepper to taste",3
5,Asparagus Side Dishes,Zesty Marinated Asparagus,https://www.allrecipes.com/recipe/18414/zesty-marinated-asparagus/,30 m,5 m,3 h,Original recipe yields 4 servings,317  cals,27.5 ,18,5.1 ,0 ,1783 ,"2 pounds fresh asparagus, trimmed and cut into 2 1/2 inch pieces;1 1/2 cups balsamic vinaigrette salad dressing;2 teaspoons grated lemon zest;1/4 cup chopped fresh parsley;1/2 teaspoon kosher salt;1/2 teaspoon freshly ground black pepper",2
6,Asparagus Side Dishes,Pan-Fried Asparagus with Onions,https://www.allrecipes.com/recipe/220725/pan-fried-asparagus-with-onions/,10 m,6 m,16 m,Original recipe yields 4 servings,78  cals,5.9 ,5.4,2.7 ,15 ,126 ,"1 tablespoon butter;1 pound asparagus, trimmed;1 tablespoon butter;1/4 cup sliced onion;1 pinch onion salt, or to taste",4
7,Asparagus Side Dishes,Asian Inspired Grilled Asparagus,https://www.allrecipes.com/recipe/223471/asian-inspired-grilled-asparagus/,5 m,10 m,45 m,Original recipe yields 6 servings,37  cals,2.4 ,3.1,1.8 ,0 ,152 ,"1 bunch fresh asparagus, trimmed;1 tablespoon soy sauce;1 tablespoon sesame oil",3
8,Asparagus Side Dishes,Oven-Roasted Asparagus,https://www.allrecipes.com/recipe/214931/oven-roasted-asparagus/,10 m,15 m,25 m,Original recipe yields 4 servings,123  cals,10.8 ,5.2,3.3 ,2 ,471 ,"1 bunch thin asparagus spears, trimmed;3 tablespoons olive oil;1 1/2 tablespoons grated Parmesan cheese (optional);1 clove garlic, minced (optional);1 teaspoon sea salt;1/2 teaspoon ground black pepper;1 tablespoon lemon juice (optional)",3
9,Asparagus Side Dishes,Baked Asparagus with Balsamic Butter Sauce,https://www.allrecipes.com/recipe/59671/baked-asparagus-with-balsamic-butter-sauce/,10 m,12 m,25 m,Original recipe yields 4 servings,77  cals,5.9 ,4.9,2.8 ,15 ,308 ,"1 pound fresh asparagus, trimmed;cooking spray;salt and pepper to taste;2 tablespoons butter;1 tablespoon soy sauce;1 teaspoon balsamic vinegar",4
